field_group,field_name,buyer_requirement,reference_or_method,acceptance_rule,sample_result,status,notes
Project identity,Brand or buyer,,,,,,
Project identity,Style name and number,,,,,,
Project identity,Product category and intended use,,,,,,
Project identity,Target market and care condition,,,,,,
Material identity,Material role (main lining mesh rib contrast),,,,,,
Material identity,Supplier or mill fabric code,,,,,,
Material identity,Approved swatch reference and revision,,,,,,
Material identity,Color reference and colorway,,,,,,
Material specification,Fiber composition and percentages,,,,,,
Material specification,Knit or weave construction,,,,,,
Material specification,Finished GSM or agreed weight range,,,,,,
Material specification,Usable width and measurement condition,,,,,,
Material specification,Face reverse texture and finish,,,,,,
Behavior,Stretch direction and agreed method,,,,,,
Behavior,Stretch result and recovery expectation,,,,,,
Behavior,Opacity or coverage condition,,,,,,
Behavior,Support drape airflow and skin feel,,,,,,
Compatibility,Pattern fit and seam compatibility,,,,,,
Compatibility,Print embroidery transfer or sublimation trial,,,,,,
Compatibility,Elastic lining trim and label compatibility,,,,,,
Evidence,Wash and dimensional change review,,,,,,
Evidence,Colorfastness pilling abrasion or required performance evidence,,,,,,
Evidence,Claim and destination-market document requirements,,,,,,
Approval,Garment sample revision using this material,,,,,,
Approval,Approved physical reference location,,,,,,
Approval,Approver date and open exceptions,,,,,,
Bulk control,Incoming material checks before cutting,,,,,,
Bulk control,Allowed range escalation rule and substitution authority,,,,,,
Bulk control,Retained reference and reorder review notes,,,,,,
